tick,timestamp,date,deltaSeconds,cautious_population,explorer_population,independent_population,predator_population,social_population,cautious_births,explorer_births,independent_births,predator_births,social_births,cautious_deaths,explorer_deaths,independent_deaths,predator_deaths,social_deaths,cautious_energy_mean,explorer_energy_mean,independent_energy_mean,predator_energy_mean,social_energy_mean,cautious_deaths_old_age,explorer_deaths_old_age,independent_deaths_old_age,predator_deaths_old_age,social_deaths_old_age,cautious_deaths_starvation,explorer_deaths_starvation,independent_deaths_starvation,predator_deaths_starvation,social_deaths_starvation,cautious_deaths_predation,explorer_deaths_predation,independent_deaths_predation,predator_deaths_predation,social_deaths_predation,prey_food_count,predator_food_count,atmosphere_event
3,1766452363709,2025-12-23T01:12:43.709Z,3.003,40,25,46,10,23,8,2,21,0,5,0,1,1,0,0,33.6,42.0,36.0,70.8,30.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,2,none
6,1766452366715,2025-12-23T01:12:46.715Z,3.006,47,29,68,10,24,8,6,23,0,2,1,2,1,0,1,36.6,42.0,37.0,71.6,30.8,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,10,7,none
9,1766452369727,2025-12-23T01:12:49.727Z,3.012,55,33,68,11,24,8,4,2,1,0,0,0,2,0,0,39.1,43.5,37.2,75.3,31.3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,12,6,none
12,1766452372734,2025-12-23T01:12:52.734Z,3.007,61,37,90,11,26,6,4,22,0,2,0,0,0,0,0,39.6,44.3,38.5,77.1,31.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,none
15,1766452375747,2025-12-23T01:12:55.747Z,3.013,70,51,92,11,28,10,14,3,0,4,1,0,1,0,2,39.5,44.1,39.5,76.9,32.2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,12,4,none
18,1766452378761,2025-12-23T01:12:58.761Z,3.014,79,56,100,11,31,10,6,9,0,4,1,1,1,0,1,40.1,45.3,38.2,79.5,31.8,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,12,5,none
21,1766452381767,2025-12-23T01:13:01.767Z,3.006,91,65,100,11,34,12,10,0,0,4,0,1,0,0,1,39.8,44.7,38.0,84.7,30.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,12,5,none
24,1766452384782,2025-12-23T01:13:04.782Z,3.015,102,82,100,11,37,12,18,1,0,5,1,1,1,0,2,39.1,44.1,37.9,83.8,30.9,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,12,8,none
27,1766452387800,2025-12-23T01:13:07.800Z,3.018,114,95,100,12,39,12,14,2,1,2,0,1,2,0,0,39.2,44.0,37.5,88.5,31.0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,12,9,none
30,1766452390833,2025-12-23T01:13:10.833Z,3.033,130,113,100,12,39,16,18,0,0,4,0,0,0,0,4,39.6,44.4,38.2,98.0,31.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,5,none
